TextId,Translated,Original
ending0002_m line Text01,"Against the fierce attacks, you were unable to get up again and pass out.",面对狂人的突来攻势，你再也无力起身，昏厥而去。
ending0002_m line Text02,"At that point, you realize, before real power, how weak you are.",那时，你明白了，在真正的强大面前，自己有多么弱小。
ending0002_m line Text03,"Days later, you awaken in your room.",数日后，你在弟子房醒来，
ending0002_m line Text04,"Is this feeling frustration or confusion? It doesn't matter, you hesitate.",不知是灰心，抑或是迷惘，你萌生了退意。
ending0002_m line Text05,"You return your emblem, pack your bags and leave.",你交还了侠隐令，重拾行囊，黯然出阁，
ending0002_m line Text06,"Looking ahead, you've decided, it's better to find a quiet place.",眼望四方，心下早已有了计较，要寻的是一处僻静乡野。
ending0002_m line Text06_1,,
ending0002_m line Text07,"""Walking the path of Xia and doing good is more suited for others.""",「『行侠仗义』这件事，还是让更合适的人去做吧。」
ending0002_m line Text07_1,,
ending0002_m line Text08,"You've decided that instead of wielding a weapon, you'd rather wield a tool.",你想通了，抡刀舞枪，不如扛犁拾锄。
ending0002_m line Text09,"Waking up and working, providing for food and shelter, that is the real path to happiness.",朝耕暮耘，丰衣足食，才是通往幸福的康庄大道。
ending0002_m line Text10,"As for the years after, the conflict in Wulin",至于那往后数年间，撼动武林的骚乱，
ending0002_m line Text11,"is nothing but a fire across the cliff, smoke before your eyes, to your calm farming life.",在你躬耕陇亩，平静无波的一生中，也就不过隔岸之火，过眼云烟了。
ending0003_f title,Fall Willingly to Vice,自甘堕落
ending0003_f line Text01,The failures in the exam ended your opportunity to keep learning in the Pavillion.,在考校试验中的挫败，使你无缘再回侠隐阁习武练功。
ending0003_f line Text02,"You return the Emblem to Mu Renxin. He lets out a cold ""Hmph"" and doesn't look at you once.",你将侠隐令交还给木人心，他冷哼一声，再也没有看你一眼。
ending0003_f line Text03,"Later, you bid farewell to your friends and start on your path home.",尔后，你与好友道别，踏上回乡的归途。
ending0003_f line Text04,On the slow moving boat you look at the Pavillion.,在缓缓划行于鄱阳湖的木筏上，望向那座渐远的山中楼阁。
ending0003_f line Text05,You're not satisified.,你明白，你心有不甘。
ending0003_f line Text06,Why weren't you the one to pass the exam? Is your talent worse than the others?,为什么通过考校的不是自己？论那根骨天资，难道会比别人差？
ending0003_f line Text07,"After some time, discontent with fate, you start on the path of no return.",经年累月，你感叹上天的不公，渐渐步上愤世嫉俗的不归路，
ending0003_f line Text08,"""Walking the path of xia"" is nothing but a joke.",所谓「行侠仗义」不过是个笑话。
ending0003_f line Text09,You start to abuse the skills you've learned in the Pavillion and commit crimes.,你开始滥用在侠隐阁所学的武艺，偷拐抢骗，四处为乱，
ending0003_f line Text10,You form a group with other students who also failed.,更与一群同被考校淘汰的弟子结党，俨然成为一方绿林贼团。
ending0003_f line Text11,"Years later, you run into your old classmates who have been succesful.",数年后，你再次遇见那些学艺有成的阁中同门，
ending0003_f line Text12,"They didn't come to reminicse about the past, but to follow the Master's orders to stop you.",但他们却并非来找你叙旧，而是奉侠隐阁师长之命，要阻止你荒唐的恶行。
ending0003_f line Text13,,
ending0003_f line Text14,"""Ha! Come at me then! Let me see what the Xia Pavillion has!""",「哈！有本事的话就来啊！让我见识见识侠隐阁教的真功夫有何能耐！」
ending0003_m title,Fall Willingly to Vice,自甘堕落
ending0003_m line Text01,The failures in the exam ended your opportunity to keep learning in the Pavillion.,在考校试验中的挫败，使你无缘再回侠隐阁习武练功。
ending0003_m line Text02,"You return the Emblem to Mu Renxin. He lets out a cold ""Hmph"" and doesn't look at you once.",你将侠隐令交还给木人心，他冷哼一声，再也没有看你一眼。
ending0003_m line Text03,"Later, you bid farewell to your friends and start on your path home.",尔后，你与好友道别，踏上回乡的归途。
ending0003_m line Text04,"On the slow moving boat, you look at the Pavillion.",在缓缓划行于鄱阳湖的木筏上，望向那座渐远的山中楼阁。
ending0003_m line Text05,You're not satisified.,你明白，你心有不甘。
ending0003_m line Text06,Why weren't you the one to pass the exam? Is your talent worse than the others?,为什么通过考校的不是自己？论那根骨天资，难道会比别人差？
ending0003_m line Text07,"After some time, discontent with fate, you start on the path of no return.",经年累月，你感叹上天的不公，渐渐步上愤世嫉俗的不归路，
ending0003_m line Text08,"""Walking the path of xia"" is nothing but a joke.",所谓「行侠仗义」不过是个笑话。
ending0003_m line Text09,You start to abuse the skills you've learned in the Pavillion and commit crimes.,你开始滥用在侠隐阁所学的武艺，偷拐抢骗，四处为乱，
ending0003_m line Text10,You form a group with other students who also failed.,更与一群同被考校淘汰的弟子结党，俨然成为一方绿林贼团。
ending0003_m line Text11,"Years later, you run into your old classmates who have been succesful.",数年后，你再次遇见那些学艺有成的阁中同门，
ending0003_m line Text12,"They didn't come to reminicse about the past, but to follow the Master's orders to stop you.",但他们却并非来找你叙旧，而是奉侠隐阁师长之命，要阻止你荒唐的恶行。
ending0003_m line Text13,,
ending0003_m line Text14,"""Ha! Come at me then! Let me see what the Xia Pavillion has!""",「哈！有本事的话就来啊！让我见识见识侠隐阁教的真功夫有何能耐！」
ending0004_f title,Losing Control,走火入魔
ending0004_f line Text01,A lapse in judgement momentarily earned you the end of your road.,一时的盲目躁进，换来的是一命呜呼，与世长辞。
ending0004_f line Text02,"Pushing yourself too hard to reach the pinnacle, only to find yourself falling into the infinite depths.",夙夜不懈，冀求武道巅峰，最终却发觉已堕入那无尽深渊，再无回天之力。
ending0004_f line Text03,"In a wave of sorrow, your masters and classmates bury you, erect your gravestone, and visit you yearly.",在一片哀戚之中，师父和同门将你入土为安，于墓上立碑为念，年年祭祀。
ending0004_f line Text04,Your story becomes a tale of caution for new disciples.,你的故事成为了日后新进弟子们不容轻忽的前车之鉴。
ending0004_f line Text05,"Even years later, when people stop visiting,",即便多年之后，香火断绝，
ending0004_f line Text06,"maybe some people will walk by the dilapidated Pavillion, to your grave, and sigh.",也或许还会有人走过残破不堪的山中楼阁，来到你的墓前，留下一声惋惜的嗟叹。
ending0004_m title,Losing Control,走火入魔
ending0004_m line Text01,A lapse in judgement momentarily earned you the end of your road.,一时的盲目躁进，换来的是一命呜呼，与世长辞。
ending0004_m line Text02,"Pushing yourself too hard to reach the pinnacle, only to find yourself falling into the infinite depths.",夙夜不懈，冀求武道巅峰，最终却发觉已堕入那无尽深渊，再无回天之力。
ending0004_m line Text03,"In a wave of sorrow, your masters and classmates bury you, erect your gravestone, and visit you yearly.",在一片哀戚之中，师父和同门将你入土为安，于墓上立碑为念，年年祭祀。
ending0004_m line Text04,Your story becomes a tale of caution for new disciples.,你的故事成为了日后新进弟子们不容轻忽的前车之鉴。
ending0004_m line Text05,"Even years later, when people stop visiting,",即便多年之后，香火断绝，
ending0004_m line Text06,"maybe some people will walk by the dilapidated Pavillion, to your grave, and sigh.",也或许还会有人走过残破不堪的山中楼阁，来到你的墓前，留下一声惋惜的嗟叹。
ending0005_f title,Path of Dust,侠道泥尘
ending0005_f line Text01,"Since enrolling in the Pavillion, your ideals have been challenged.",入阁以来，你胸中那份行侠仗义的理想，无数次地受到现实的威胁和挑战，
ending0005_f line Text02,"You always questioned yourself, will you be able to reach the end?",你不断地怀疑自己的能力和信念，是否真能在阁中师长所期望的侠道上走到终点？
ending0005_f line Text03,These doubts fall away at the last moment of your life.,然而这个萦绕心头多年的迷惘，在生命的最后一刻，突然一扫而空。
ending0005_f line Text04,The one to walk to the end doesn't have to be yourself.,是了，到达终点的那位侠者，从来不必是自己。
ending0005_f line Text05,"Turning into dust, you make the path more solid, for those that come after.",粉身碎骨，化为道上泥尘，亦将使此道更加扎实，令后来之人稳步前行，
ending0005_f line Text06,"This is why you fought without regret, with everything, until your death.",这便是你会不顾一切撑起满目疮痍的身躯，无怨无悔，奋战至死的理由。
ending0005_f line Text07,"In a wave of sorrow, your masters and classmates bury you, erect your gravestone, and visit you yearly.",在一片哀戚之中，师父和同门将你入土为安，于墓上立碑为念，年年祭祀。
ending0005_f line Text08,Your story later becomes a tale of inspiration.,你的故事成为了日后新进弟子们心向往之的侠者风范， 
ending0005_f line Text09,"Even years later, when people stop visiting,",即便多年之后，香火断绝，
ending0005_f line Text10,"maybe some people will walk by the dilapidated Pavillion, to your grave, and sigh.",也或许还会有人走过残破不堪的山中楼阁，来到你的墓前，留下一声惋惜的嗟叹。
ending0005_m title,Path of Dust,侠道泥尘
ending0005_m line Text01,"Since enrolling in the Pavillion, your ideals have been challenged.",入阁以来，你胸中那份行侠仗义的理想，无数次地受到现实的威胁和挑战，
ending0005_m line Text02,"You always questioned yourself, will you be able to reach the end?",你不断地怀疑自己的能力和信念，是否真能在阁中师长所期望的侠道上走到终点？
ending0005_m line Text03,These doubts fall away at the last moment of your life.,然而这个萦绕心头多年的迷惘，在生命的最后一刻，突然一扫而空。
ending0005_m line Text04,The one to walk to the end doesn't have to be yourself.,是了，到达终点的那位侠者，从来不必是自己。
ending0005_m line Text05,"Turning into dust, you make the path more solid, for those that come after.",粉身碎骨，化为道上泥尘，亦将使此道更加扎实，令后来之人稳步前行，
ending0005_m line Text06,"This is why you fought without regret, with everything, until your death.",这便是你会不顾一切撑起满目疮痍的身躯，无怨无悔，奋战至死的理由。
ending0005_m line Text07,"In a wave of sorrow, your masters and classmates bury you, erect your gravestone, and visit you yearly.",在一片哀戚之中，师父和同门将你入土为安，于墓上立碑为念，年年祭祀。
ending0005_m line Text08,Your story later becomes a tale of inspiration.,你的故事成为了日后新进弟子们心向往之的侠者风范， 
ending0005_m line Text09,"Even years later, when people stop visiting,",即便多年之后，香火断绝，
ending0005_m line Text10,"maybe some people will walk by the dilapidated Pavillion, to your grave, and sigh.",也或许还会有人走过残破不堪的山中楼阁，来到你的墓前，留下一声惋惜的嗟叹。
ending0006_f title,Annihilation,玉石俱焚
ending0006_f line Text01,"Blades cross, bodies fall,",刀光剑影，血肉横飞，
ending0006_f line Text02,"in this fight for survival, no one held back.",在这生死相搏的乱战之中，彼此都已没有手下留情的余裕，
ending0006_f line Text03,"You see a weapon flash before you, a cool touch to your chest, then pain. You fall powerless to your kness.",只见眼前刀光一闪，胸口一凉，跟着剧痛袭来，你无力跪倒在地。
ending0006_f line Text04,You feel a warmth in your palm. It is your blood.,手掌但觉一阵温热，却原来是胸腹之间汩汩渗出的鲜血。
ending0006_f line Text05,"You hear screams of rage, cries of pain, howls of regret.",耳边传来的是同门的怒吼、呜咽、哀号，
ending0006_f line Text06,You laugh bitterly at the situation.,你的嘴角露出了无奈的苦笑，
ending0006_f line Text07,"As your consciousness fades, you realize everything is ridiculous.",意识蒙胧之际，才猛然发现一切是如此荒唐，
ending0006_f line Text08,"In this fight of beliefs, is this the end?",这水火不容的信念之争，最终的结果却是如此吗？
ending0006_f line Text09,"Darkness falls as you close your eyes, you sink into the abyss.",气力消退，眼前一黑，你闭上双眼，就此坠入深渊。
ending0006_f line Text10,"In the unknown future, everything settles.",在那个你无法知晓的未来，一切尘埃落定，
ending0006_f line Text11,"Years later, a kind soul wanders to this dilapidated pavillion,",也不知在多少年后，会有几个善良的灵魂走过这残破不堪的山中楼阁，
ending0006_f line Text12,"and buries you along with all the bodies. In front of the mass grave, they sigh.",将你和遍地尸骨收敛入土，在那墓前，留下一声惋惜的嗟叹。
ending0006_m title,Annihilation,玉石俱焚
ending0006_m line Text01,"Blades cross, bodies fall,",刀光剑影，血肉横飞，
ending0006_m line Text02,"in this fight for survival, no one held back.",在这生死相搏的乱战之中，彼此都已没有手下留情的余裕，
ending0006_m line Text03,"You see a weapon flash before you, a cool touch to your chest, then pain. You fall powerless to your kness.",只见眼前刀光一闪，胸口一凉，跟着剧痛袭来，你无力跪倒在地。
ending0006_m line Text04,You feel a warmth in your palm. It is your blood.,手掌但觉一阵温热，却原来是胸腹之间汩汩渗出的鲜血。
ending0006_m line Text05,"You hear screams of rage, cries of pain, howls of regret.",耳边传来的是同门的怒吼、呜咽、哀号，
ending0006_m line Text06,You laugh bitterly at the situation.,你的嘴角露出了无奈的苦笑，
ending0006_m line Text07,"As your consciousness fades, you realize everything is ridiculous.",意识蒙胧之际，才猛然发现一切是如此荒唐，
ending0006_m line Text08,"In this fight of beliefs, is this the end?",这水火不容的信念之争，最终的结果却是如此吗？
ending0006_m line Text09,"Darkness falls as you close your eyes, you sink into the abyss.",气力消退，眼前一黑，你闭上双眼，就此坠入深渊。
ending0006_m line Text10,"In the unknown future, everything settles.",在那个你无法知晓的未来，一切尘埃落定，
ending0006_m line Text11,"Years later, a kind soul wanders to this dilapidated pavillion,",也不知在多少年后，会有几个善良的灵魂走过这残破不堪的山中楼阁，
ending0006_m line Text12,"and buries you along with all the bodies. In front of the mass grave, they sigh.",将你和遍地尸骨收敛入土，在那墓前，留下一声惋惜的嗟叹。
ending0007_f title,Beyond Salvation,万劫不复
ending0007_f line Text01,"Automatons laid siege to the Pavilion, corpse zombies are all over the mountain,",木人困阁，尸人漫山，
ending0007_f line Text02,"that Abyssal Palace leader, like a wraith, left only severed limbs and arms behind.",那幽魂般的冥宫宫主，所到之处，留下的只是残肢断臂，
ending0007_f line Text03,"Facing that inhuman monster by her side, even the battle-tested Masters could only fall victim to its blade.",而面对她身旁那非人的怪物，即使是身经百战的师父们，也只能一一沦为其刀下亡魂。
ending0007_f line Text04,"You're on your knees, on the ground, powerless. Your body, filled with wounds and bruises, is no long in control.",你无力跪倒在地，体无完肤的身躯，早已不听使唤，
ending0007_f line Text05,"In your fading mind, you can only see the Abyssal Palace leader's face, cold as ice,",朦胧中，映入眼帘的似乎正是冥宫宫主那冷若冰霜的脸庞，
ending0007_f line Text06,and Ling Wujue's pale ash-like face behind the white veil.,和凌无绝那隐于白纱之下，仿佛死灰般的面容。
ending0007_f line Text07,"They chat, lightly, but all you can hear are the roar and screams from your peers, mixed with corpse zombies' wild evil laughter.",她们低喃了几句，但你耳中只听得见同门的嘶吼和悲鸣，混杂着尸人们的狂笑，
ending0007_f line Text08,There are only hatred and madness in this destined battlefield.,在这一切早已注定的战场上，有的只是仇恨和疯狂。
ending0007_f line Text09,"A sword flashes, and it is the end. You can only close your eyes to embrace this irreversable fate.",利剑一闪，到此为止了，你只能闭上双眼，迎接无法转圜的命运。
ending0007_f line Text10,"In the unknown future, everything settles.",在那个你无法知晓的未来，一切尘埃落定，
ending0007_f line Text11,"Years later, a kind soul wanders to this dilapidated pavillion,",也不知在多少年后，会有几个善良的灵魂走过这残破不堪的山中楼阁，
ending0007_f line Text12,"and buries you along with all the bodies. In front of the mass grave, they sigh.",将你和遍地尸骨收敛入土，在那墓前，留下一声惋惜的嗟叹。
ending0007_m title,Beyond Salvation,万劫不复
ending0007_m line Text01,"Automatons laid siege to the Pavilion, corpse zombies are all over the mountain,",木人困阁，尸人漫山，
ending0007_m line Text02,"that Abyssal Palace leader, like a wraith, left only severed limbs and arms behind.",那幽魂般的冥宫宫主，所到之处，留下的只是残肢断臂，
ending0007_m line Text03,"Facing that inhuman monster by her side, even the battle-tested Masters could only fall victim to its blade.",而面对她身旁那非人的怪物，即使是身经百战的师父们，也只能一一沦为其刀下亡魂。
ending0007_m line Text04,"You're on your knees, on the ground, powerless. Your body, filled with wounds and bruises, is no long in control.",你无力跪倒在地，体无完肤的身躯，早已不听使唤，
ending0007_m line Text05,"In your fading mind, you can only see the Abyssal Palace leader's face, cold as ice,",朦胧中，映入眼帘的似乎正是冥宫宫主那冷若冰霜的脸庞，
ending0007_m line Text06,and Ling Wujue's pale ash-like face behind the white veil.,和凌无绝那隐于白纱之下，仿佛死灰般的面容。
ending0007_m line Text07,"They chat, lightly, but all you can hear are the roar and screams from your peers, mixed with corpse zombies' wild evil laughter.",她们低喃了几句，但你耳中只听得见同门的嘶吼和悲鸣，混杂着尸人们的狂笑，
ending0007_m line Text08,There are only hatred and madness in this destined battlefield.,在这一切早已注定的战场上，有的只是仇恨和疯狂。
ending0007_m line Text09,"A sword flashes, and it is the end. You can only close your eyes to embrace this irreversable fate.",利剑一闪，到此为止了，你只能闭上双眼，迎接无法转圜的命运。
ending0007_m line Text10,"In the unknown future, everything settles.",在那个你无法知晓的未来，一切尘埃落定，
ending0007_m line Text11,"Years later, a kind soul wanders to this dilapidated pavillion,",也不知在多少年后，会有几个善良的灵魂走过这残破不堪的山中楼阁，
ending0007_m line Text12,"and buries you along with all the bodies. In front of the mass grave, they sigh.",将你和遍地尸骨收敛入土，在那墓前，留下一声惋惜的嗟叹。
ending0008_f title,A dream in the Pavilion,侠隐幻梦
ending0008_f line Text01,The days you spend studying in the Xia Pavilion faded like a pipe dream.,在侠隐阁修业习武的那些日子，如同黄粱之梦般消逝在风中。
ending0008_f line Text02,"After you were escorted to the capital, the Embroidered Guard locked your group into the royal prison and interrogated you for days and nights,",众人被押解入京后，遭锦衣卫送入天牢之中，日夜盘问，
ending0008_f line Text03,but none were willing to confess to the false crime of human trafficking.,却无一人愿意屈从承认拐卖流民之罪。
ending0008_f line Text04,"As the time goes on, under the delusion of the Craft Queen, the emperor considered removing the Xia Pavilion and the Sky Stealer Fort all together.",时日一久，在巧后的蛊惑下，圣上竟也渐渐萌生一举铲除侠隐阁与窃天坞徒众之意。
ending0008_f line Text05,"With all lives hanging by a thread, Chu Tianbi confessed to the charges, took all the responsibility,",众人命悬一线之际，楚天碧最终挺身承认了罪行，担下了一切责任，
ending0008_f line Text06,and traded his own life in exchange for mercy for everyone who lived in the Pavilion.,以一人性命，换来了门下众人一线生机。
ending0008_f line Text07,"The Xia Pavilion and the Sky Stealer Fort were dissolved under the imperial order. You, as well as the imprisoned masters and peers",侠隐阁、窃天坞遭朝廷勒令解散，你和身旁一同被关押的同门、师父
ending0008_f line Text08,"were all disarmed and maimed, and exiled to remote provinces to serve your sentence in labor camps.",皆被废去武艺功体，发配外省，服徒役之刑。
ending0008_f line Text09,"However, the imperial court could not have forseen that the remnant of the Xia Pavilion, led by Duan Xiaolie, would rescue you in the following dozen years",但朝廷却未曾料想到，由段霄烈率领的侠隐阁残余势力，将在往后的十余年间救出众人，
ending0008_f line Text10,"and organize the Heaven Rebellion with the Southern sects against the imperial court and Northern sects under their command, igniting the world in a rebellious flame.",与南方诸派组织天道义军，力抗朝廷与听命其下的北方诸派，燃起席卷天下的反乱之火。
ending0008_f line Text11,"And this unrest that would soon shock the Wulin, would add the first fuel to this sweeping flame...",而那将在不久后撼动武林的骚乱，更将为这场燎原烈火，增添薪柴……
ending0008_m title,A dream in the Pavilion,侠隐幻梦
ending0008_m line Text01,The days you spend studying in the Xia Pavilion faded like a pipe dream.,在侠隐阁修业习武的那些日子，如同黄粱之梦般消逝在风中。
ending0008_m line Text02,"After you were escorted to the capital, the Embroidered Guard locked your group into the royal prison and interrogated you for days and nights,",众人被押解入京后，遭锦衣卫送入天牢之中，日夜盘问，
ending0008_m line Text03,but none were willing to confess to the false crime of human trafficking.,却无一人愿意屈从承认拐卖流民之罪。
ending0008_m line Text04,"As the time goes on, under the delusion of the Craft Queen, the emperor considered removing the Xia Pavilion and the Sky Stealer Fort all together.",时日一久，在巧后的蛊惑下，圣上竟也渐渐萌生一举铲除侠隐阁与窃天坞徒众之意。
ending0008_m line Text05,"With all lives hanging by a thread, Chu Tianbi confessed to the charges, took all the responsibility,",众人命悬一线之际，楚天碧最终挺身承认了罪行，担下了一切责任，
ending0008_m line Text06,and traded his own life in exchange for mercy for everyone who lived in the Pavilion.,以一人性命，换来了门下众人一线生机。
ending0008_m line Text07,"The Xia Pavilion and the Sky Stealer Fort were dissolved under the imperial order. You, as well as the imprisoned masters and peers",侠隐阁、窃天坞遭朝廷勒令解散，你和身旁一同被关押的同门、师父
ending0008_m line Text08,"were all disarmed and maimed, and exiled to remote provinces to serve your sentence in labor camps.",皆被废去武艺功体，发配外省，服徒役之刑。
ending0008_m line Text09,"However, the imperial court could not have forseen that the remnant of the Xia Pavilion, led by Duan Xiaolie, would rescue you in the following dozen years",但朝廷却未曾料想到，由段霄烈率领的侠隐阁残余势力，将在往后的十余年间救出众人，
ending0008_m line Text10,"and organize the Heaven Rebellion with the Southern sects against the imperial court and Northern sects under their command, igniting the world in a rebellious flame.",与南方诸派组织天道义军，力抗朝廷与听命其下的北方诸派，燃起席卷天下的反乱之火。
ending0008_m line Text11,"And this unrest that would soon shock the Wulin, would add the first fuel to this sweeping flame...",而那将在不久后撼动武林的骚乱，更将为这场燎原烈火，增添薪柴……
ending0101_f title,Blue sea and clear sky,碧海青天
ending0101_f line Text01,"Duan Xiaolie and his disciple left the Xia Pavilion with blood and flame under their steps,",段霄烈及其追随者，踏着鲜血与焰火离开了侠隐阁，
ending0101_f line Text02,"just like the blood-stained, yet unwavering south mountain's bamboo.",宛如沾染上血色，屹立不摇的南山之竹。
ending0101_f line Text03,"They claim they are justice, crusading on a short path filled with corpses and blood.",他们自诩为正义，踏上一条满是尸山血海的捷径，
ending0101_f line Text04,We must stop this catastrophe veiled as justice that will soon be spread across the Wulin.,而我们则必须阻止，阻止这场即将蔓延武林的，名为正义的浩劫。
ending0101_f line Text05,"It might be fast to achieve peace, by stopping killing with killing, but that is definitely not a long-term solution.",以杀止杀，以成太平，虽能立竿见影，却非长久之计，
ending0101_f line Text06,"That is because in this world, there are only few absolute good and evil.",只因这世道，绝对的善恶仅是少数，
ending0101_f line Text07,"Mostly, there are just conflicts of standpoints, based on desire and distrust amongst the people.",更多的，是人与人之间迷于私欲、缺乏互信所导致的立场冲突。
ending0101_f line Text08,"If we can dissolve the standpoints, remove the estrangement, how many people would be unquestionably evil?",在立场消融、人们再无隔阂之后，又有多少人是真心为恶？
ending0101_f line Text09,Only by letting people open their hearts and understand each other can the continuation of this hatred be truly ended.,唯有让世人敞开心房、理解彼此，才能真正终结这恨意的延续，
ending0101_f line Text10,Lead the Wulin to become a peaceful world that treats people with kindness. ,让武林走向，以仁待人的太平盛世。
ending0101_f line Text11,,
ending0101_f line Text12,"When  the dust settles, the work of rebuilding the Xia Pavilion begins.",待尘埃落定，重建侠隐阁之作业，于焉展开。
ending0101_f line Text13,"You can't help feeling sad, about the destruction of what you knew, but you raise your head,",曾经熟悉的地方尽遭毁坏，虽不由得心生失落，可抬起头，
ending0101_f line Text14,"and you see those who share the same mind, working hard for the future Wulin.",看见那些与自己理念一致的伙伴们，也正为了将来的武林努力着，
ending0101_f line Text15,How can you stagnate here?,自己还有什么理由在此滞步不前？
ending0101_f line Text16,"You look at the gateway, it reminds you of when your comrade and master left,",望向山门，想起那时的情景，昔日战友与师长们离去的身影，
ending0101_f line Text17,"those regretless silhouette, drenched in the blood-like scarlet, of the flame of combat and the setting sun...",在纷飞战火中、残阳映照下，那深红如血的背影，无愧亦无悔……
ending0101_f line Text18,"... Right, no matter how much you have lost, and what more you will need to face,",……没错，不论当初舍弃了多少，今后又将面对什么，
ending0101_f line Text19,you must not hold your steps back.,现在，都不能停下脚步。
ending0101_f line Text20,Everything is for not letting the hope of ending all conficts wither here.,一切都是为了，不让止戈为武的理想，在此凋零。
ending0101_m title,Blue sea and clear sky,碧海青天
ending0101_m line Text01,"Duan Xiaolie and his disciple left the Xia Pavilion with blood and flame under their steps,",段霄烈及其追随者，踏着鲜血与焰火离开了侠隐阁，
ending0101_m line Text02,"just like the blood-stained, yet unwavering south mountain's bamboo.",宛如沾染上血色，屹立不摇的南山之竹。
ending0101_m line Text03,"They claim they are justice, crusading on a short path filled with corpses and blood.",他们自诩为正义，踏上一条满是尸山血海的捷径，
ending0101_m line Text04,We must stop this catastrophe veiled as justice that will soon be spread across the Wulin.,而我们则必须阻止，阻止这场即将蔓延武林的，名为正义的浩劫。
ending0101_m line Text05,"It might be fast to achieve peace, by stopping killing with killing, but that is definitely not a long-term solution.",以杀止杀，以成太平，虽能立竿见影，却非长久之计，
