S1501	山林野地_官道	M15	01	42.552, 132.943, -124.145	0.000, 309.364, 0.000	In_explore_01.wav	14
S1502	重岩村近郊悬崖	M15	02	81.160, 19.990, 33.860	0.000, 318.430, 0.000		14
S9901	牢房	M99	01	-5.829, 0.623, 997.608	0.000, 0.000, 0.000		0
S1103	地下隐藏机关室	M11	03	61.495, 19.996, 56.850	0.000, 4.151, 0.000	In_explore_01.wav	12
S0110	侠隐阁山门	M01	10	95.177, 100.000, 76.121	0.000, 0.000, 0.000	In_scene_03.wav	14
S0111	侠隐阁校园(终战版)	M01	11	83.865, 6.189, 55.322	0.000, 86.088, 0.000		14
S0308	新戏台和庙	M03	08	91.590, 27.597, 66.570	0.000, 36.934, 0.000	In_mood_02.wav	14
S1504	塞北	M15	04	558.418, 23.438, 396.385	0.000, 302.874, 0.000	In_explore_03.wav	14
S1506	苗疆	M15	06	639.758, 0.032, 315.641	0.000, 26.368, 0.000	In_explore_03.wav	14
S1601	破碎酒庄	M16	01	64.860, 26.519, 32.200	0.000, 116.868, 0.000	In_mood_07.wav	12
S1701	回雁峰山道	M17	01	391.988, 15.562, 80.624	0.000, 0.000, 0.000	In_explore_03.wav	14
S1702	雁峰寺经阁	M17	02	161.514, 2.799, 269.249	0.000, 272.229, 0.000	In_explore_03.wav	12
S1801	泛用牢房	M18	01	2.250, 0.527, 1001.280	0.000, 204.885, 0.000	In_explore_03.wav	12
