1001	This is an evaluation for testing			[0,(A Money,0)][1,(B Money,1)][2,(C Money,0)]	[0,(Money,100)][1,(Money,200)][2,(Money,300)]
ev1212502	General assessment of Gu's entertainment at the end of the year	第二年期末四艺检核		[0,(Any one of four arts is promoted to advanced.,1)][1,(The sum of four arts reaches 1000 points.,1)][2,(Any one four arts skill reaches 800 points.,1)]	[0,(Money,6000)][1,(it501523,2)][2,(it601718b,1)]
ev5201105	Banditry			[0,(The bandit leader died, 1)][1,(The escaped woman survived, 1)][2,(All our units survived, 1)]	[0,(Money,400)][1,(it101542,1)][2,(it201041,1)]
ev5201106	Bandit Rage 2			[0,(Defeat Lu Lingshuang in Nanchang City, 1)][1,(No casualties in suspension bridge battle, 1)][2,(Successfully intercepted bandits in six rounds, 1)]	[0,(Money,500)][1,(it501502,1)][2,(it104541,1)]
ev5201107	Defense type Wooden Automaton function test			[0,(Core Automaton is defeated, 1)][1,(Defeated two Automatons, 1)][2,(Defeated Four Automatons, 1)]	[0,(Money,300)][1,(it501014,2)][2,(it501023,1)]
ev5201108	Defensive Wooden Automaton Function Test II		Defensive Wooden Automaton Performance Test 2 Transcript	[0,(All Automatons survives, 1)][1,(Brown bear survives, 1)][2,(all Bear hunters defeated, 1)]	[0,(Money,800)][1,(it501020,2)][2,(it501506,1)]
ev5201109	Assist in training freshmen Will	协助锻炼新生意志	Assist in training freshmen Will report card	[0,(Junior Brother，Junior Sister successfully defeated Senior Brother and Senior Sister, 1)][1,(Place all spells in five turn, 1)][2,(No casualties in the exorcism ceremony, 1)]	[0,(Money,600)][1,(it501021,1)][2,(it201051,1)]
ev5201110	Assist in training freshmen Dexterity	协助锻炼新生灵巧	Assist in training freshmen's Dexterity report card	[0,(Triggered less than 4 traps, 1)][1,(Junior survives, 1)][2,(triggered no traps, 1)]	[0,(Money,600)][1,(it501022,1)][2,(it501506,1)]
ev5201111	Assist in training freshmen Vitality	协助锻炼新生体魄	Assist in training freshmen's Vitality report card	[0,(survived in the second battle, 1)][1,( defeated Junior Brother in the first battle, 1)][2,( defeated Junior Brother in the first battle within two rounds, 1)]	[0,(Money,300)][1,(it501011,2)][2,(it501020,1)]
ev5201112	Assist in training freshmen Strength	协助锻炼新生力量	Assist in training freshmen's Strength report card	[0,(Survived at least three rounds in the first battle, 1)][1,(Winned in the second battle, 1)][2,(In the first battle， reduce Wei Lengfan's HP to 30%, 1)]	[0,(Money,300)][1,(it501013,2)][2,(it501021,1)]
ev5201114	Investigate anomalous mountain beasts	调查异常山兽	Investigate the abnormal mountain beast report card	[0,(Investigate the cause of the abnormality, 1)][1,(Protect the villagers from Tiger attack, 1)][2,(All members survive, 1)]	[0,(Money,500)][1,(it501504,1)][2,(it102541,1)]
ev5201115	The 2nd Xia Hidden Challenge	第二届侠隐擂台赛	Transcript of the 2nd Xia Hidden Challenge	[0,(Win the first battle, 1)][1,(Win the second battle, 1)][2,(Win the third battle, 1)]	[0,(Money,400)][1,(it501503,1)][2,(it201041,1)]
ev5201117	Martial arts cut through friendly matches	武艺切蹉友谊赛	Wu Yi cut the friendly match transcript	[0,(All members of Xia Pavillion team survived, 1)][1,(All members of our team survived, 1)][2,(Win the battle in seven rounds, 1)]	[0,(Money,300)][1,(it501505,1)][2,(it103541,1)]
ev5202091	Escort Wu Hao back to town	武昊遇刺事件	Guard Wu Hao, and the same door break Corpse Zombie evaluation	[0,(Return to Nanchang City with Elder Wu, 1)][1,(Defeat Golden Phoebe, 1)][2,(Do your best to weaken Smoking Tapir, 1)]	[0,(Money,1000)][1,(it105551,1)][2,(it501023,3)]
ev5210401	Shangguan Family Banquet	上官家宴	Transcript after involvement in the Shangguan Family Banquet	[0,(Recapture the Tiger Emblem!,1)][1,(Rescue four civilians from the Automanton soldiers!,1)][2,(Breakthrough within ten rounds in the first breakthrough battle!,1)]	[0,(it414007,1)][1,(it201053,1)][2,(it715010,2)]
ev1303101	Rescue Bai Cong Yi		Rescue the evaluation of white sunglasses.	[0,(Save Bai Zong Yi,1)][1,(Bai Zong Yi and Zhang Qiluo were not exhausted in the battle of the mountain road,1)][2,(Bai Zong Yi was not exhausted in the battle of the siege,1)]	[0,(Money,5000)][1,(it501506,2)][2,(it301070,1)]
ev1306501	Chivalry Hidden Court Defense		Evaluation of the third year of summer school: the defense of Chivalry Court.	[0,(Successfully repel the Hades Palace army,1)][1,(During the defense against the Hades Palace army, Shi Kun was never exhausted,1)][2,(Repel the Yin count in four rounds,1)]	[0,(Money,7500)][1,(it501506,3)][2,(it418014,1)]
ev1310301	Raid on the Hades Palace Miao border territory		Raid on the Underworld Palace Miao border according to the evaluation.	[0,(Destroy the Miao border area of the Hades Palace,1)][1,(Kill all the corpses in the forest ambush,1)][2,(Kill all the corpses in the extermination battle of the Miao fortress,1)]	[0,(Money,8000)][1,(it501506,2)][2,(it418013,1)]
ev1310302	Save the Underworld Palace Miao Frontier base		Save the evaluation of the Underworld Palace Miao border according to the land.	[0,(Resolve the conflict between the Righteous and the Underworld, 1)][1,(Ensure all corpses survive in the forest rescue battle, 1)][2,(Ensure at least five corpses survive in the Miao rescue battle, 1)]	[0,(Money,8000)][1,(it501506,2)][2,(it418013,1)]
ev1310303	Kill the Queen of Coincidences Yan Huang		The evaluation of Yan Huang after the execution of the coincidence.	[0,(kill Yan Huang, return peacefully to the pavilion,3)][1,(,0)][2,(,0)]	[0,(Money,8000)][1,(it501506,2)][2,(it418013,1)]
ev5201125	Catching the corpse (I)	擒捉屍人（一）	Capture the corpse catcher (I) transcript	[0,(Restrain all corpses,1)][1,(All members of Chivalry Pavilion survive,1)][2,(Sun and Moon Villa disciples survive,1)]	[0,(Money,750)][1,(it501030,1)][2,(it501505,1)]
ev5201126	Catching the corpse (II)	擒捉屍人（二）	Capture the corpse catcher (II) transcript	[0,(Defeat the corpse,1)][1,(Survival of all members of the Chivalry Pavilion,1)][2,(Defeat the corpse within six rounds (included),1)]	[0,(it501032,1)][1,(Money,830)][2,(it104071,1)]
ev5201127	The Three Amigos villagers soldier training (a)	三侠村民兵训练（一）	The Three Amigos villagers soldier training (a) transcript	[0,(Villager group team wins,1)][1,(Successfully expel any member of the corpse group,1)][2,(Successfully expel all members of the corpse group,1)]	[0,(it501033,1)][1,(Money,600)][2,(it501502,1)]
ev5201130	The Three Amigos villagers soldier training (II)	三侠村民兵训练（二）	The Three Amigos villagers soldier training (II) transcript	[0,(Successfully defeated the corpses,1)][1,(Brother Jiang survived,1)][2,(Both mother and son survived,1)]	[0,(Money,700)][1,(it103571,1)][2,(it501526,1)]
ev5201131	Assist in testing new drugs	协助试验新药	Assisting in the trial of new drug transcripts	[0,(Defeat corpses in five rounds,1)][1,(No casualties,1)][2,(Tiantao's brother survives,1)]	[0,(it501030,1)][1,(Money,600)][2,(it501524,1)]
ev5201132	Kill the corpse	击杀屍人	Report card for killing corpses	[0,(Defeat the corpses,1)][1,(Survival of all the Chivalry Pavilion members,1)][2,(Survival of all the disciples of Cangmeng City,1)]	[0,(Money,700)][1,(it501030,1)][2,(it501503,1)]
ev5201133	Chivalry Hidden Court Defense Function	侠隐阁防御机能	Report card of the defensive function of the Chivalry Pavilion	[0,(Answer all questions correctly,1)][1,(Organ Man assembled correctly,1)][2,(Successfully consume Wooden Heart's blood to 40%,1)]	[0,(it715015,1)][1,(it106571,1)][2,(it501527,1)]
ev5201134	Kill the corpse man (II)	击杀屍人（二）	Kill the corpse (II) transcript	[0,(save at least two villagers,1)][1,(no casualties in Chivalry Pavilion,1)][2,(save at least one villager,1)]	[0,(it501032,1)][1,(Money,830)][2,(it101571,1)]
ev5201135	Assist in the collection of toxic substances	协助搜集毒物	Assist in collecting toxicology transcripts	[0,(Defeat corpse phantom,1)][1,(Win in seven rounds,1)][2,(Brother phantom survives,1)]	[0,(it715017,1)][1,(it501033,1)][2,(it501505,1)]
ev5201136	Poison control corpses	炼毒控制屍人	Alchemy poison control corpse people report card	[0,(All members of the Chivalry Pavilion are alive,1)][1,(At least two corpses are alive and not berserk,1)][2,(All three corpses are alive and not berserk,1)]	[0,(Money,700)][1,(it102571,1)][2,(it501525,1)]
ev5201137	Training to kill corpses	击杀屍人训练	Kill the corpse training report card	[0,(Defeat Master Ning in 5 rounds,1)][1,(Win and Shimeji and Shangguan Lin survive,1)][2,(Win and all of us survive,1)]	[0,(Money,650)][1,(it501030,1)][2,(it201072,1)]
ev5201138	Catching the corpse No.3	擒捉屍人之三	Report card of the third capture of the corpse	[0,(Breakout battle outside the cave ends in four rounds (included),1)][1,(Successfully capture all corpses inside the cave,1)][2,(Quickly defeat Yao Nianqing in five rounds (included),1)]	[0,(it715010,1)][1,(it301071,1)][2,(it201074,1)]
ev5201139	Kill the corpse three	击杀屍人之三	Kill the corpse of three report card	[0,(Breakout battle outside the cave ends in four rounds (included),1)][1,(Successfully capture all corpses inside the cave,1)][2,(Quickly defeat Yao Nianqing in five rounds (included),1)]	[0,(it715010,1)][1,(it301072,1)][2,(it201074,1)]
ev5203011	Help me get the man back	帮老娘把人逮回来	Help Dame to catch the siblings and King Kong	[0,(Success in finding the siblings,1)][1,(Success in repelling the corpses,1)][2,(Siblings and Vajra survived,1)]	[0,(Money,300)][1,(Money,300)][2,(Money,300)]
