1001	This is an evaluation for testing			[0,(A Money,0)][1,(B Money,1)][2,(C Money,0)]	[0,(Money,100)][1,(Money,200)][2,(Money,300)]
ev1212502	General assessment of Gu's entertainment at the end of the year	第二年期末四艺检核		[0,(Any one of four arts is promoted to advanced.,1)][1,(The sum of four arts reaches 1000 points.,1)][2,(Any one four arts skill reaches 800 points.,1)]	[0,(Money,6000)][1,(it501523,2)][2,(it601718b,1)]
ev5201105	Banditry			[0,(The bandit leader died, 1)][1,(The escaped woman survived, 1)][2,(All our units survived, 1)]	[0,(Money,400)][1,(it101542,1)][2,(it201041,1)]
ev5201106	Bandit Rage 2			[0,(Defeat Lu Lingshuang in Nanchang City, 1)][1,(No casualties in suspension bridge battle, 1)][2,(Successfully intercepted bandits in six rounds, 1)]	[0,(Money,500)][1,(it501502,1)][2,(it104541,1)]
ev5201107	Defense type Wooden Automaton function test			[0,(Core Automanton is defeated, 1)][1,(Defeated two Automantns, 1)][2,(Defeated Four Automantons, 1)]	[0,(Money,300)][1,(it501014,2)][2,(it501023,1)]
ev5201108	Defensive Wooden Automaton Function Test II		Defensive Wooden Automaton Performance Test 2 Transcript	[0,(All Automantons Survives, 1)][1,(Brown bears survives, 1)][2,(all Bear hunters defeated, 1)]	[0,(Money,800)][1,(it501020,2)][2,(it501506,1)]
ev5201109	Assist in training freshmen Will	协助锻炼新生意志	Assist in training freshmen Will report card	[0,(Junior Brother，Junior Sister successfully defeated Senior Brother and Senior Sister, 1)][1,(Place all spells in five turn, 1)][2,(No casualties in the exorcism ceremony, 1)]	[0,(Money,600)][1,(it501021,1)][2,(it201051,1)]
ev5201110	Assist in training freshmen Dexterity	协助锻炼新生灵巧	Assist in training freshmen's Dexterity report card	[0,(Triggered less than 4 traps, 1)][1,(Junior survives, 1)][2,(triggered no traps, 1)]	[0,(Money,600)][1,(it501022,1)][2,(it501506,1)]
ev5201111	Assist in training freshmen Vitality	协助锻炼新生体魄	Assist in training freshmen's Vitality report card	[0,(survived in the second battle, 1)][1,( defeated Junior Brother in the first battle, 1)][2,( defeated Junior Brother in the first battle within two rounds, 1)]	[0,(Money,300)][1,(it501011,2)][2,(it501020,1)]
ev5201112	Assist in training freshmen Strength	协助锻炼新生力量	Assist in training freshmen's Strength report card	[0,(Survived at least three rounds in the first battle, 1)][1,(Winned in the second battle, 1)][2,(In the first battle， reduce Wei Lengfan's HP to 30%, 1)]	[0,(Money,300)][1,(it501013,2)][2,(it501021,1)]
ev5201114	Investigate anomalous mountain beasts	调查异常山兽	Investigate the abnormal mountain beast report card	[0,(Investigate the cause of the abnormality, 1)][1,(Protect the villagers from Tiger attack, 1)][2,(All members survive, 1)]	[0,(Money,500)][1,(it501504,1)][2,(it102541,1)]
ev5201115	The 2nd Xia Hidden Challenge	第二届侠隐擂台赛	Transcript of the 2nd Xia Hidden Challenge	[0,(Win the first battle, 1)][1,(Win the second battle, 1)][2,(Win the third battle, 1)]	[0,(Money,400)][1,(it501503,1)][2,(it201041,1)]
ev5201117	Martial arts cut through friendly matches	武艺切蹉友谊赛	Wu Yi cut the friendly match transcript	[0,(All members of Xia Pavillion team survived, 1)][1,(All members of our team survived, 1)][2,(Win the battle in seven rounds, 1)]	[0,(Money,300)][1,(it501505,1)][2,(it103541,1)]
ev5202091	Escort Wu Hao back to town	武昊遇刺事件	Guard Wu Hao, and the same door break Corpse Zombie evaluation	[0,(Return to Nanchang City with Elder Wu, 1)][1,(Defeat Golden Phoebe, 1)][2,(Do your best to weaken Smoking Tapir, 1)]	[0,(Money,1000)][1,(it105551,1)][2,(it501023,3)]
ev5210401	Shangguan Family Banquet	上官家宴	Transcript after involvement in the Shangguan Family Banquet	[0,(Recapture the Tiger Emblem!,1)][1,(Rescue four civilians from the Automanton soldiers!,1)][2,(Breakthrough within ten rounds in the first breakthrough battle!,1)]	[0,(it414007,1)][1,(it201053,1)][2,(it715010,2)]
